# task3_csv_schema=1
mode,frame_id,target_q15,truth_class,predicted_class,confidence_q15,inference_us,transport_retries,rtos_status,pwm,actuator_q15,rtos_processing_us,round_trip_us,error_code,duplicate,recovered
FIXED,157,18000,3,3,32767,525,0,0,0,0,9,796,0,0,0
FIXED,158,17671,3,3,32767,630,0,0,0,0,11,985,0,0,0
FIXED,159,17190,3,3,32767,672,0,0,0,0,11,891,0,0,0
FIXED,160,16562,3,3,32767,634,0,0,0,0,11,874,0,0,0
FIXED,161,15796,3,3,32767,617,0,0,0,0,10,665,0,0,0
FIXED,162,14903,3,3,32767,592,0,0,0,0,10,617,0,0,0
FIXED,163,13897,3,3,32767,574,0,0,0,0,2,575,0,0,0
FIXED,164,12795,3,3,32767,1051,0,0,0,0,10,1066,0,0,0
FIXED,165,11615,3,3,22678,1050,0,0,0,0,9,733,0,0,0
FIXED,166,10376,3,3,32767,525,0,0,0,0,8,861,0,0,0
FIXED,167,9101,3,3,18854,525,0,0,0,0,9,705,0,0,0
FIXED,168,7809,3,3,12407,1056,0,0,0,0,11,994,0,0,0
FIXED,169,6522,3,3,4095,525,0,0,0,0,3,541,0,0,0
FIXED,170,5260,2,2,329,519,0,0,0,0,4,603,0,0,0
FIXED,171,4042,2,2,12908,526,0,0,0,0,9,924,0,0,0
FIXED,172,2885,2,2,18944,962,0,0,0,0,10,714,0,0,0
FIXED,173,1804,2,2,32767,1029,0,0,0,0,89,1017,0,0,0
FIXED,174,811,2,2,15269,635,0,0,0,0,90,968,0,0,0
FIXED,175,-85,2,2,32767,523,0,0,0,0,10,723,0,0,0
FIXED,176,-878,2,2,21986,535,0,0,0,0,9,550,0,0,0
FIXED,177,-1564,2,2,16544,527,0,0,0,0,9,687,0,0,0
FIXED,178,-2144,2,2,17185,1040,0,0,0,0,81,1010,0,0,0
FIXED,179,-2621,2,2,20407,1212,0,0,0,0,81,959,0,0,0
FIXED,180,-3003,2,2,13743,1030,0,0,0,0,84,991,0,0,0
FIXED,181,-3298,2,2,32767,1023,0,0,0,0,11,900,0,0,0
FIXED,182,-3519,2,2,12325,1016,0,0,0,0,10,865,0,0,0
FIXED,183,-3679,2,2,15847,1014,0,0,0,0,47,953,0,0,0
FIXED,184,-3795,2,2,9191,524,0,0,0,0,9,856,0,0,0
FIXED,185,-3882,2,2,8187,1036,0,0,0,0,9,759,0,0,0
FIXED,186,-3959,2,2,32767,524,0,0,0,0,9,756,0,0,0
FIXED,187,-4043,2,2,10338,532,0,0,0,0,9,775,0,0,0
FIXED,188,-4150,2,2,18507,539,0,0,0,0,9,778,0,0,0
FIXED,189,-4297,2,2,10053,634,0,0,0,0,11,1082,0,0,0
FIXED,190,-4497,2,2,10091,1045,0,0,0,0,50,835,0,0,0
FIXED,191,-4763,2,2,12776,546,0,0,0,0,55,1037,0,0,0
FIXED,192,-5105,2,2,10388,630,0,0,0,0,10,1225,0,0,0
FIXED,193,-5530,2,2,4464,630,0,0,0,0,10,1147,0,0,0
FIXED,194,-6041,1,2,3297,629,0,0,0,0,106,1100,0,0,0
FIXED,195,-6639,1,1,5981,537,0,0,0,0,89,709,0,0,0
FIXED,196,-7323,1,1,14506,629,0,0,0,0,58,1173,0,0,0
FIXED,197,-8085,1,1,5144,528,0,0,0,0,9,935,0,0,0
FIXED,198,-8919,1,1,32767,631,0,0,0,0,46,537,0,0,0
FIXED,199,-9812,1,1,16293,634,0,0,0,0,48,1156,0,0,0
FIXED,200,-10750,1,1,32767,634,0,0,0,0,89,1266,0,0,0
FIXED,201,-11717,1,1,32767,631,0,0,0,0,84,1033,0,0,0
FIXED,202,-12695,1,1,31860,688,0,0,0,0,11,1096,0,0,0
FIXED,203,-13664,1,1,32767,523,0,0,0,0,10,1080,0,0,0
FIXED,204,-14605,1,1,31927,626,0,0,0,0,8,606,0,0,0
FIXED,205,-15497,1,1,32767,631,0,0,0,0,11,958,0,0,0
FIXED,206,-16320,1,1,32767,979,0,0,0,0,11,1272,0,0,0
FIXED,207,-17055,1,1,32767,551,0,0,0,0,8,890,0,0,0
FIXED,208,-17686,1,1,22237,621,0,0,0,0,46,481,0,0,0
FIXED,209,-18195,1,1,32767,985,0,0,0,0,11,956,0,0,0
FIXED,210,-18572,1,1,27559,1001,0,0,0,0,4,569,0,0,0
